id;name;original_language;first_air_date;production_companies[0].name;production_companies[1].name;production_companies[2].name
1;Pride;ja;12/01/2004;-;-;-
2;Clerks;en;31/05/2000;Touchstone Television;View Askew Productions;Woltz International Pictures Corporation
3;The Message;en;20/05/2006;-;-;-
4;The Amazing Mrs Pritchard;en;03/10/2006;-;-;-
5;La Job;fr;09/10/2006;-;-;-
6;Strange Days at Blake Holsey High;en;05/10/2002;-;-;-
7;Bugs;en;01/04/1995;Carnival Films;-;-
8;Te Kaea;mi;12/12/2012;-;-;-
9;Match Game;en;02/07/1973;-;-;-
10;All in Good Faith;en;30/12/1985;-;-;-
11;Strictly Sex with Dr. Drew;en;08/06/2005;-;-;-
12;Han Wu Da Di;en;12/12/2012;-;-;-
13;How do you like Wednesday?;en;12/12/2012;-;-;-
14;Shuriken School;en;20/08/2006;Zinkia Entertainment;Studio Xilam;-
15;Mister Rogers' Neighborhood;en;12/12/2012;-;-;-
16;Sidewalks: Video Nite;en;12/12/2012;-;-;-
17;Mighty Truck of Stuff;en;15/10/2005;-;-;-
18;W*A*L*T*E*R;en;17/07/1984;20th Century Fox Television;-;-
19;Planet of the Apes;en;13/09/1974;20th Century Fox Television;-;-
20;Wildboyz;en;26/10/2003;-;-;-
22;Pain Clinic;en;12/12/2012;-;-;-
23;Tugs;en;04/04/1989;Clearwater Features;Tugs Ltd;-
24;Presidio Med;en;24/09/2002;-;-;-
25;Star Wars: Droids;en;07/09/1985;Lucasfilm Animation;Lucasfilm Ltd.;-
26;Hawaii;en;01/09/2004;-;-;-
27;Bratz;en;12/12/2012;-;-;-
29;Mary Hartman, Mary Hartman;en;05/01/1976;TAT Communications Company;-;-
30;St. Elsewhere;en;26/10/1982;20th Century Fox Television;MTM Productions;-
31;French Fields;en;05/09/1989;-;-;-
32;Rounin;en;16/04/2007;-;-;-
33;What I Like About You;en;20/09/2002;Warner Bros. Television;Tollin/Robbins Productions;-
34;Keeping Up Appearances;en;12/12/2012;-;-;-
35;Cracker;en;27/09/1993;Granada Television;-;-
36;Medium;en;03/01/2005;Pointe Studios;Picturemaker Productions;Grammnet Productions
37;Seven of One;en;25/03/1973;-;-;-
38;Time Warp Trio;en;09/07/2005;WGBH Boston;Soup2Nuts;-
40;Dallas;en;02/04/1978;-;-;-
41;Dolly;en;27/09/1987;Sandollar Productions;-;-
42;ComicView;en;14/09/1992;-;-;-
43;31 Minutos;es;15/03/2003;Aplaplac;-;-
44;Adventures of Sonic the Hedgehog;en;06/09/1993;Bohbot Communications;DiC Entertainment;SEGA of America
45;Top Gear;en;20/10/2002;BBC;-;-
46;Treasure Hunt;en;28/12/1982;Télé Union;Chatsworth Television;-
47;El Chavo del Ocho;es;26/02/1973;Televisa;-;-
48;Absolutely;en;12/12/2012;-;-;-
50;Pacific Blue;en;02/03/1996;Gary Nardino Productions;-;-
51;Houston Knights;en;12/12/2012;-;-;-
52;That '70s Show;en;23/08/1998;Carsey-Werner Company;-;-
54;Growing Pains;en;24/09/1985;Guntzelman-Sullivan-Marshall Productions;Warner Bros. Television;-
55;North of 60;en;03/12/1992;-;-;-
56;Newlyweds: Nick and Jessica;en;19/08/2003;MTV Productions;-;-
57;Angela's Eyes;en;16/07/2006;Bull's Eyes Entertainment;The Cleary Company;Universal Television
58;The Phred on Your Head Show;en;12/12/2012;-;-;-
59;The European Side;tr;11/02/2004;Plato Film Production;-;-
60;Hardball with Chris Matthews;en;12/12/2012;-;-;-
61;ASAP Fanatic;en;12/12/2012;-;-;-
62;The Challenge;en;20/04/1998;Bunim-Murray Productions (BMP);-;-
63;Brass Eye;en;29/01/1997;Talkback;-;-
